Cluster,FID,Lat,Long,DAYNO.,RAINFALL,YEAR
49,45.0,30.25,79.25,183.0,4.416438356164384,2018.0
50,74.0,31.0,78.25,183.0,3.7095890410958905,2018.0
51,25.0,29.75,79.75,183.0,3.5123287671232877,2018.0
52,4.0,29.0,80.0,183.0,5.227397260273973,2018.0
53,32.0,30.0,78.75,183.0,1.9123287671232876,2018.0
54,27.0,29.75,80.25,183.0,6.726027397260274,2018.0
55,53.0,30.5,78.0,183.0,5.3780821917808215,2018.0
56,21.0,29.75,78.75,183.0,2.304109589041096,2018.0
57,73.0,31.0,78.0,183.0,3.126027397260274,2018.0
58,50.0,30.25,80.5,183.0,7.046575342465753,2018.0
59,7.0,29.25,79.5,183.0,5.47945205479452,2018.0
60,40.0,30.25,78.0,183.0,5.50958904109589,2018.0
61,57.0,30.5,79.0,183.0,5.528767123287671,2018.0
62,68.0,30.75,79.0,183.0,4.7095890410958905,2018.0
63,70.0,30.75,79.5,183.0,4.112328767123287,2018.0
64,75.0,31.0,78.5,183.0,3.5863013698630137,2018.0
65,8.0,29.25,79.75,183.0,2.7424657534246575,2018.0
66,15.0,29.5,79.75,183.0,2.7315068493150685,2018.0
67,6.0,29.25,79.25,183.0,6.884931506849315,2018.0
68,10.0,29.25,80.25,183.0,3.723287671232877,2018.0
69,77.0,31.0,79.0,183.0,4.391780821917808,2018.0
70,22.0,29.75,79.0,183.0,2.1205479452054794,2018.0
71,43.0,30.25,78.75,183.0,2.334246575342466,2018.0
72,60.0,30.5,79.75,183.0,5.4082191780821915,2018.0
73,13.0,29.5,79.25,183.0,4.073972602739726,2018.0
74,1.0,29.0,79.25,183.0,4.802739726027397,2018.0
75,14.0,29.5,79.5,183.0,2.8767123287671232,2018.0
76,76.0,31.0,78.75,183.0,4.082191780821918,2018.0
77,44.0,30.25,79.0,183.0,4.041095890410959,2018.0
78,71.0,30.75,79.75,183.0,4.457534246575342,2018.0
79,3.0,29.0,79.75,183.0,4.994520547945205,2018.0
0,73.0,31.0,78.0,183.0,2.6356164383561644,2019.0
1,27.0,29.75,80.25,183.0,6.898630136986301,2019.0
